"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"LSTU_MSST_0330201901","LSTU_MSST_0330201901_PA01AWAY01",1,0,NA,NA,NA,"A","A0",0,NA,NA,NA,"A","A0",1,1
2,"LSTU_MSST_0330201901","LSTU_MSST_0330201901_PA01AWAY02",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
3,"LSTU_MSST_0330201901","LSTU_MSST_0330201901_PA01AWAY03",2,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
4,"LSTU_MSST_0330201901","LSTU_MSST_0330201901_PA01AWAY04",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
5,"LSTU_MSST_0330201901","LSTU_MSST_0330201901_PA02HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
6,"LSTU_MSST_0330201901","LSTU_MSST_0330201901_PA02HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
7,"LSTU_MSST_0330201901","LSTU_MSST_0330201901_PA02HOME03",1,2,NA,NA,NA,"A","A2",2,"Allen",NA,NA,"B","B2",0,0
8,"LSTU_MSST_0330201901","LSTU_MSST_0330201901_PA02HOME04",2,2,"Allen",NA,NA,"B","B2",2,"Macnamee","Allen",NA,"E","E2",0,0
9,"LSTU_MSST_0330201901","LSTU_MSST_0330201901_PA02HOME05",1,2,"Macnamee","Allen",NA,"E","E2",3,"Macnamee","Allen",NA,"E","E3",0,0
10,"LSTU_MSST_0330201901","LSTU_MSST_0330201901_PA03AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
11,"LSTU_MSST_0330201901","LSTU_MSST_0330201901_PA03AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
12,"LSTU_MSST_0330201901","LSTU_MSST_0330201901_PA03AWAY03",1,2,NA,NA,NA,"A","A2",2,"Beloso",NA,NA,"B","B2",0,0
13,"LSTU_MSST_0330201901","LSTU_MSST_0330201901_PA03AWAY04",2,2,"Beloso",NA,NA,"B","B2",2,"Mathis","Beloso",NA,"E","E2",0,0
14,"LSTU_MSST_0330201901","LSTU_MSST_0330201901_PA03AWAY05",3,2,"Mathis","Beloso",NA,"E","E2",3,"Hughes","Mathis",NA,"E","E3",0,0
15,"LSTU_MSST_0330201901","LSTU_MSST_0330201901_PA04HOME01",1,0,NA,NA,NA,"A","A0",0,"Skelton",NA,NA,"B","B0",0,0
16,"LSTU_MSST_0330201901","LSTU_MSST_0330201901_PA04HOME02",1,0,"Skelton",NA,NA,"B","B0",1,"Skelton",NA,NA,"B","B1",0,0
17,"LSTU_MSST_0330201901","LSTU_MSST_0330201901_PA04HOME03",1,1,"Skelton",NA,NA,"B","B1",2,NA,NA,NA,"A","A2",0,0
18,"LSTU_MSST_0330201901","LSTU_MSST_0330201901_PA04HOME04",1,2,NA,NA,NA,"A","A2",2,"Hatcher",NA,NA,"B","B2",0,0
19,"LSTU_MSST_0330201901","LSTU_MSST_0330201901_PA04HOME05",1,2,"Hatcher",NA,NA,"B","B2",3,"Hatcher",NA,NA,"B","B3",0,0
20,"LSTU_MSST_0330201901","LSTU_MSST_0330201901_PA05AWAY02",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
