GameID,PlateAppID,HomeAway,RunnerName,Hole,Action,StartBase,EndBase,BasesAdded,SB,SBA,OutsAdded,Fielder1,Fielder2,RunsAdded,PO,POA,WP,PB,AOE,bostartOuts,bostartOnFirst,bostartOnSecond,bostartOnThird,bostartBaseState,bostartBaseOutState,boendOuts,boendOnFirst,boendOnSecond,boendOnThird,boendBaseState,boendBaseOutState
2019041201,2019041201Away0906b,away,Thomason,8,scored,1,4,3,0,0,0,NA,NA,1,0,0,0,0,0,2,Thomason,Lewis,NA,E,E2,2,Thomason,Lewis,Conklin,H,H2
2019041201,2019041201Away0906b,away,Lewis,5,scored,2,4,2,0,0,0,NA,NA,1,0,0,0,0,0,2,Thomason,Lewis,NA,E,E2,2,Thomason,Lewis,Conklin,H,H2
2019041201,2019041201Home0103b,home,Kerrigan,1,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0,1,Kerrigan,NA,NA,B,B1,1,Morris,Kerrigan,NA,E,E1
2019041201,2019041201Home0104b,home,Morris,3,out,1,0,-1,0,0,1,NA,NA,0,0,0,0,0,0,1,Morris,Kerrigan,NA,E,E1,3,Morris,Kerrigan,NA,E,E3
2019041201,2019041201Home0204b,home,Knernschield,6,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0,2,Knernschield,NA,NA,B,B2,2,Sweeney,Knernschield,NA,E,E2
2019041201,2019041201Home0205b,home,Sweeney,8,out,1,0,-1,0,0,1,ss,2b,0,0,0,0,0,0,2,Sweeney,Knernschield,NA,E,E2,3,Tesmond,Knernschield,NA,E,E3
2019041201,2019041201Home0403b,home,Knernschield,6,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,1,1,Pena,NA,NA,B,B1,1,NA,Knernschield,NA,C,C1
2019041201,2019041201Home0403b,home,Pena,5,advanced,1,3,2,0,0,0,NA,NA,0,0,0,0,0,0,1,Pena,NA,NA,B,B1,1,NA,Knernschield,Pena,G,G1
2019041201,2019041201Home0405b,home,Knernschield,6,scored,2,4,2,0,0,0,NA,NA,1,0,0,0,0,0,2,NA,Knernschield,Pena,G,G2,2,Sweeney,Knernschield,Pena,H,H2
2019041201,2019041201Home0405b,home,Pena,5,scored,3,4,1,0,0,0,NA,NA,1,0,0,0,0,0,2,NA,Knernschield,Pena,G,G2,2,Sweeney,Knernschield,Pena,H,H2
2019041201,2019041201Home0406b,home,Sweeney,8,out,1,0,-1,0,0,1,2b unassiste,EE,0,0,0,0,0,0,2,Sweeney,Knernschield,Pena,H,H2,3,Tesmond,Knernschield,Pena,H,H3
2019041201,2019041201Home0504b,home,Morris,3,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0,2,Morris,NA,NA,B,B2,2,Govern,Morris,NA,E,E2
2019041201,2019041201Home0805b,home,Pena,5,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0,2,Pena,NA,NA,B,B2,2,Toppel,Pena,NA,E,E2
2019041201,2019041201Home0806b,home,Sweeney,8,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0,2,Toppel,Pena,NA,E,E2,2,NA,Sweeney,NA,C,C2
2019041201,2019041201Home0806b,home,Toppel,7,advanced,1,3,2,0,0,0,NA,NA,0,0,0,0,0,0,2,Toppel,Pena,NA,E,E2,2,NA,Sweeney,Toppel,G,G2
2019041201,2019041201Home0806b,home,Pena,5,scored,2,4,2,0,0,0,NA,NA,1,0,0,0,0,0,2,Toppel,Pena,NA,E,E2,2,NA,Sweeney,Toppel,G,G2
